,player_id,name,team_id,team_name,sub_position,foot,height_in_cm,opponent_team_name,opponent_team,total_points,was_home,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
4,5.0,Gabriel dos Santos Magalhães,1.0,Arsenal,Centre-Back,left,190.0,Forest,16.0,1.0,True,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.02
5,6.0,Kai Havertz,1.0,Arsenal,Attacking Midfield,left,193.0,Forest,16.0,2.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.4,30.3,15.0,5.5,1.0,0.05,0.24,0.29,1.18
7,8.0,Gabriel Fernando de Jesus,1.0,Arsenal,Centre-Forward,right,175.0,Forest,16.0,0.0,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
9,10.0,Jakub Kiwior,1.0,Arsenal,Centre-Back,left,189.0,Forest,16.0,0.0,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
11,12.0,Gabriel Martinelli Silva,1.0,Arsenal,Left Winger,right,178.0,Forest,16.0,5.0,True,2.0,1.0,1.0,85.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.4,42.5,8.0,7.6,1.0,0.00,0.22,0.22,1.16
12,13.0,Eddie Nketiah,1.0,Arsenal,Centre-Forward,right,175.0,Forest,16.0,8.0,True,2.0,1.0,1.0,72.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,30.2,5.9,36.0,7.2,1.0,0.21,0.01,0.22,0.30
13,14.0,Martin Ødegaard,1.0,Arsenal,Attacking Midfield,left,178.0,Forest,16.0,2.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,23.4,14.0,4.9,1.0,0.11,0.09,0.20,1.18
18,19.0,Bukayo Saka,1.0,Arsenal,Right Winger,left,178.0,Forest,16.0,10.0,True,2.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,53.8,46.2,39.0,13.9,1.0,0.19,0.17,0.36,1.18
19,20.0,William Saliba,1.0,Arsenal,Centre-Back,right,192.0,Forest,16.0,5.0,True,2.0,1.0,1.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,33.6,13.6,2.0,4.9,1.0,0.00,0.03,0.03,1.18
25,26.0,Leandro Trossard,1.0,Arsenal,Left Winger,right,172.0,Forest,16.0,1.0,True,2.0,1.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.4,10.8,0.0,1.6,0.0,0.00,0.01,0.01,0.88
28,29.0,Benjamin White,1.0,Arsenal,Right-Back,right,186.0,Forest,16.0,1.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,10.8,7.3,2.0,2.0,1.0,0.00,0.03,0.03,1.18
30,31.0,Oleksandr Zinchenko,1.0,Arsenal,Left-Back,left,175.0,Forest,16.0,0.0,True,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
112,113.0,David Raya Martin,1.0,Arsenal,Goalkeeper,right,183.0,Spurs,18.0,0.0,True,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
539,540.0,Declan Rice,1.0,Arsenal,Defensive Midfield,right,188.0,Forest,16.0,2.0,True,2.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.6,4.6,31.0,5.7,1.0,0.25,0.03,0.28,1.18
33,34.0,Leon Bailey,2.0,Villa,Left Winger,left,178.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2,3.8,0.0,0.4,1.0,0.00,0.01,0.01,1.24
35,36.0,Matty Cash,2.0,Villa,Right-Back,right,185.0,Newcastle,15.0,-1.0,False,5.0,1.0,1.0,86.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.8,1.8,11.0,1.7,1.0,0.74,0.00,0.74,2.80
41,42.0,Lucas Digne,2.0,Villa,Left-Back,left,178.0,Newcastle,15.0,-1.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.2,45.2,2.0,6.0,1.0,0.00,0.15,0.15,3.44
42,43.0,Douglas Luiz Soares de Paulo,2.0,Villa,Central Midfield,right,177.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,9.4,22.3,19.0,5.1,1.0,0.19,0.15,0.34,3.44
47,48.0,Ezri Konsa Ngoyo,2.0,Villa,Centre-Back,right,183.0,Newcastle,15.0,0.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.2,1.3,0.0,1.5,1.0,0.00,0.01,0.01,3.44
48,49.0,Emiliano Martínez Romero,2.0,Villa,Goalkeeper,right,195.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,18.0,45.6,0.0,0.0,4.6,1.0,0.00,0.00,0.00,3.44
49,50.0,John McGinn,2.0,Villa,Central Midfield,left,178.0,Newcastle,15.0,2.0,False,5.0,1.0,1.0,63.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.8,18.1,0.0,1.9,1.0,0.00,0.03,0.03,1.80
57,58.0,Youri Tielemans,2.0,Villa,Central Midfield,right,177.0,Newcastle,15.0,1.0,False,5.0,1.0,1.0,45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.4,13.3,2.0,1.9,0.0,0.00,0.09,0.09,2.20
59,60.0,Ollie Watkins,2.0,Villa,Centre-Forward,right,180.0,Newcastle,15.0,5.0,False,5.0,1.0,1.0,90.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.2,23.4,29.0,8.5,1.0,0.23,0.10,0.33,3.44
583,584.0,Pau Torres,2.0,Villa,Centre-Back,left,192.0,Newcastle,15.0,0.0,False,5.0,1.0,1.0,59.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.2,12.6,0.0,3.1,0.0,0.00,0.02,0.02,2.36
598,599.0,Moussa Diaby,2.0,Villa,Right Winger,left,171.0,Newcastle,15.0,7.0,False,5.0,1.0,1.0,86.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,42.6,23.1,40.0,10.6,1.0,0.36,0.11,0.47,2.80
62,63.0,Philip Billing,3.0,Bournemouth,Central Midfield,left,193.0,West Ham,19.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.2,17.1,14.0,4.7,1.0,0.07,0.06,0.13,1.07
64,65.0,Ryan Christie,3.0,Bournemouth,Attacking Midfield,left,178.0,West Ham,19.0,2.0,True,1.0,1.0,1.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.4,14.8,9.0,3.5,1.0,0.02,0.03,0.05,0.84
65,66.0,Lewis Cook,3.0,Bournemouth,Central Midfield,right,175.0,West Ham,19.0,0.0,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
71,72.0,Justin Kluivert,3.0,Bournemouth,Left Winger,both,172.0,West Ham,19.0,1.0,True,1.0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,1.5,2.0,0.5,0.0,0.00,0.01,0.01,0.23
76,77.0,Norberto Murara Neto,3.0,Bournemouth,Goalkeeper,right,190.0,West Ham,19.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,14.0,0.0,0.0,1.4,1.0,0.00,0.01,0.01,1.07
81,82.0,Antoine Semenyo,3.0,Bournemouth,Right Winger,right,185.0,West Ham,19.0,4.0,True,1.0,1.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.3,3.0,0.5,0.0,0.07,0.01,0.08,0.19
82,83.0,Marcos Senesi,3.0,Bournemouth,Centre-Back,left,185.0,West Ham,19.0,1.0,True,1.0,1.0,1.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.2,0.5,0.0,1.7,1.0,0.00,0.02,0.02,0.84
84,85.0,Dominic Solanke,3.0,Bournemouth,Centre-Forward,right,186.0,West Ham,19.0,7.0,True,1.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,40.6,23.0,72.0,13.6,1.0,0.98,0.14,1.12,1.07
85,86.0,Marcus Tavernier,3.0,Bournemouth,Left Winger,left,178.0,West Ham,19.0,0.0,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
88,89.0,Illia Zabarnyi,3.0,Bournemouth,Centre-Back,right,189.0,West Ham,19.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.4,1.2,0.0,1.7,1.0,0.00,0.01,0.01,1.07
95,96.0,Nathan Collins,4.0,Brentford,Centre-Back,right,193.0,Spurs,18.0,1.0,True,2.0,2.0,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.8,0.7,4.0,2.6,1.0,0.00,0.01,0.01,1.26
100,101.0,Mark Flekken,4.0,Brentford,Goalkeeper,both,195.0,Spurs,18.0,2.0,True,2.0,2.0,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,34.8,0.0,0.0,3.5,1.0,0.00,0.00,0.00,1.26
104,105.0,Vitaly Janelt,4.0,Brentford,Defensive Midfield,left,184.0,Spurs,18.0,2.0,True,2.0,2.0,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.6,11.5,17.0,4.3,1.0,0.02,0.01,0.03,1.26
105,106.0,Mathias Jensen,4.0,Brentford,Central Midfield,right,180.0,Spurs,18.0,4.0,True,2.0,2.0,1.0,48.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.4,0.7,4.0,0.8,1.0,0.00,0.03,0.03,0.69
107,108.0,Bryan Mbeumo,4.0,Brentford,Right Winger,left,171.0,Spurs,18.0,7.0,True,2.0,2.0,1.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.4,6.0,44.0,8.3,1.0,1.35,0.03,1.38,1.26
109,110.0,Christian Nørgaard,4.0,Brentford,Defensive Midfield,right,187.0,Spurs,18.0,2.0,True,2.0,2.0,1.0,71.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.8,1.8,6.0,1.7,1.0,0.00,0.01,0.01,1.02
111,112.0,Ethan Pinnock,4.0,Brentford,Centre-Back,left,194.0,Spurs,18.0,1.0,True,2.0,2.0,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.4,0.5,0.0,2.5,1.0,0.00,0.00,0.00,1.26
113,114.0,Mads Roerslev Rasmussen,4.0,Brentford,Right-Back,right,184.0,Spurs,18.0,1.0,True,2.0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.8,0.0,2.0,0.5,0.0,0.03,0.00,0.03,0.24
118,119.0,Yoane Wissa,4.0,Brentford,Left Winger,right,176.0,Spurs,18.0,9.0,True,2.0,2.0,1.0,71.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,49.8,21.3,45.0,11.6,1.0,0.24,0.05,0.29,1.02
257,258.0,Neal Maupay,4.0,Brentford,Centre-Forward,right,173.0,Fulham,10.0,2.0,True,0.0,1.0,1.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,9.4,11.7,75.0,9.6,1.0,1.35,0.00,1.35,0.32
121,122.0,Simon Adingra,5.0,Brighton,Left Winger,right,175.0,Luton,12.0,6.0,True,4.0,1.0,1.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,1.3,35.0,6.9,0.0,0.25,0.01,0.26,1.04
128,129.0,Lewis Dunk,5.0,Brighton,Centre-Back,right,192.0,Luton,12.0,2.0,True,4.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.1,15.0,2.4,1.0,0.12,0.59,0.71,1.45
130,131.0,Pervis Estupiñán,5.0,Brighton,Left-Back,left,175.0,Luton,12.0,7.0,True,4.0,1.0,1.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,34.0,46.0,79.3,35.0,16.0,1.0,0.11,0.86,0.97,1.45
131,132.0,Evan Ferguson,5.0,Brighton,Centre-Forward,right,188.0,Luton,12.0,5.0,True,4.0,1.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.2,10.6,37.0,8.0,0.0,0.89,0.03,0.92,1.04
132,133.0,Billy Gilmour,5.0,Brighton,Defensive Midfield,right,170.0,Luton,12.0,1.0,True,4.0,1.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,7.0,1.8,0.0,0.02,0.05,0.07,1.04
133,134.0,Pascal Groß,5.0,Brighton,Central Midfield,right,181.0,Luton,12.0,2.0,True,4.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,73.4,34.0,13.6,1.0,0.49,0.47,0.96,1.45
134,135.0,João Pedro Junqueira de Jesus,5.0,Brighton,Centre-Forward,right,182.0,Luton,12.0,7.0,True,4.0,1.0,1.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,40.8,16.1,57.0,11.4,1.0,1.30,0.03,1.33,1.20
142,143.0,Kaoru Mitoma,5.0,Brighton,Left Winger,right,178.0,Luton,12.0,5.0,True,4.0,1.0,1.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26.0,28.6,61.9,22.0,11.3,1.0,0.02,0.62,0.64,1.45
149,150.0,Jan Paul van Hecke,5.0,Brighton,Centre-Back,right,189.0,Luton,12.0,2.0,True,4.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.2,0.5,17.0,5.0,1.0,0.02,0.00,0.02,1.45
153,154.0,Danny Welbeck,5.0,Brighton,Centre-Forward,right,185.0,Luton,12.0,2.0,True,4.0,1.0,1.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.8,1.9,33.0,3.9,1.0,0.31,0.10,0.41,0.41
160,161.0,Josh Brownhill,6.0,Burnley,Central Midfield,right,179.0,City,13.0,1.0,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.1,0.0,0.00,0.00,0.00,0.12
593,594.0,Zeki Amdouni,6.0,Burnley,Centre-Forward,both,185.0,City,13.0,2.0,True,0.0,3.0,1.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.6,0.8,21.0,3.0,1.0,0.03,0.00,0.03,0.96
595,596.0,James Trafford,6.0,Burnley,Goalkeeper,right,192.0,City,13.0,2.0,True,0.0,3.0,1.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,42.2,0.0,0.0,4.2,1.0,0.00,0.00,0.00,2.21
144,145.0,Robert Sánchez,7.0,Chelsea,Goalkeeper,right,197.0,Liverpool,11.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.8,0.0,0.0,1.4,1.0,0.00,0.00,0.00,1.28
196,197.0,Levi Colwill,7.0,Chelsea,Centre-Back,left,187.0,Liverpool,11.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.8,22.5,7.0,4.7,1.0,0.08,0.01,0.09,1.28
198,199.0,Enzo Fernández,7.0,Chelsea,Central Midfield,right,178.0,Liverpool,11.0,1.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,19.8,38.5,9.0,6.7,1.0,0.06,0.11,0.17,1.28
201,202.0,Conor Gallagher,7.0,Chelsea,Central Midfield,right,182.0,Liverpool,11.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.4,6.3,0.0,2.4,1.0,0.00,0.02,0.02,1.28
202,203.0,Malo Gusto,7.0,Chelsea,Right-Back,right,178.0,Liverpool,11.0,1.0,True,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.8,1.3,0.0,0.5,0.0,0.00,0.01,0.01,0.04
209,210.0,Mykhailo Mudryk,7.0,Chelsea,Left Winger,right,175.0,Liverpool,11.0,1.0,True,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.4,1.3,4.0,0.8,0.0,0.00,0.01,0.01,0.04
210,211.0,Nicolas Jackson,7.0,Chelsea,Centre-Forward,right,188.0,Liverpool,11.0,1.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.0,9.6,5.5,48.0,6.3,1.0,0.53,0.01,0.54,1.28
215,216.0,Raheem Sterling,7.0,Chelsea,Left Winger,right,170.0,Liverpool,11.0,2.0,True,1.0,1.0,1.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,26.0,10.0,4.9,1.0,0.00,0.09,0.09,1.23
216,217.0,Thiago Emiliano da Silva,7.0,Chelsea,Centre-Back,right,181.0,Liverpool,11.0,2.0,True,1.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.8,11.7,8.0,5.3,1.0,0.00,0.07,0.07,1.28
361,362.0,Cole Palmer,7.0,Chelsea,Attacking Midfield,left,189.0,Burnley,6.0,1.0,False,0.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.0,0.0,0.00,0.02,0.02,0.07
610,611.0,Axel Disasi,7.0,Chelsea,Centre-Back,right,190.0,Liverpool,11.0,11.0,True,1.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,47.0,1.8,37.0,8.6,1.0,0.47,0.01,0.48,1.28
219,220.0,Joachim Andersen,8.0,Palace,Centre-Back,right,192.0,Sheffield,17.0,9.0,False,0.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,41.2,24.9,42.0,10.8,1.0,0.15,0.11,0.26,0.49
220,221.0,Jordan Ayew,8.0,Palace,Centre-Forward,right,182.0,Sheffield,17.0,6.0,False,0.0,1.0,1.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.8,32.0,32.0,9.1,1.0,0.09,0.36,0.45,0.49
224,225.0,Odsonne Edouard,8.0,Palace,Centre-Forward,right,187.0,Sheffield,17.0,7.0,False,0.0,1.0,1.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,44.4,22.2,93.0,16.0,1.0,1.12,0.14,1.26,0.49
225,226.0,Eberechi Eze,8.0,Palace,Attacking Midfield,right,178.0,Sheffield,17.0,3.0,False,0.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.4,96.2,35.0,14.5,1.0,0.51,0.58,1.09,0.49
227,228.0,Marc Guéhi,8.0,Palace,Centre-Back,right,182.0,Sheffield,17.0,6.0,False,0.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.4,10.8,4.0,4.0,1.0,0.04,0.01,0.05,0.49
229,230.0,Sam Johnstone,8.0,Palace,Goalkeeper,right,193.0,Sheffield,17.0,6.0,False,0.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,7.4,0.0,0.0,0.7,1.0,0.00,0.00,0.00,0.49
230,231.0,Jefferson Lerma Solís,8.0,Palace,Defensive Midfield,right,179.0,Sheffield,17.0,3.0,False,0.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.2,13.6,3.0,3.1,1.0,0.02,0.02,0.04,0.49
231,232.0,Jean-Philippe Mateta,8.0,Palace,Centre-Forward,right,192.0,Sheffield,17.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
233,234.0,Tyrick Mitchell,8.0,Palace,Left-Back,left,175.0,Sheffield,17.0,8.0,False,0.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,14.6,2.6,2.0,1.9,1.0,0.00,0.02,0.02,0.49
235,236.0,Michael Olise,8.0,Palace,Right Winger,left,184.0,Sheffield,17.0,0.0,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
244,245.0,Jarrad Branthwaite,9.0,Everton,Centre-Back,left,195.0,Fulham,10.0,0.0,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
245,246.0,Dominic Calvert-Lewin,9.0,Everton,Centre-Forward,right,189.0,Fulham,10.0,0.0,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
248,249.0,Abdoulaye Doucouré,9.0,Everton,Central Midfield,right,183.0,Fulham,10.0,2.0,True,0.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.8,34.4,25.0,6.8,1.0,0.56,0.10,0.66,1.50
249,250.0,James Garner,9.0,Everton,Defensive Midfield,right,182.0,Fulham,10.0,2.0,True,0.0,1.0,1.0,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.8,18.3,0.0,2.7,1.0,0.00,0.01,0.01,1.33
258,259.0,Dwight McNeil,9.0,Everton,Left Winger,left,183.0,Fulham,10.0,0.0,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
259,260.0,Vitalii Mykolenko,9.0,Everton,Left-Back,left,180.0,Fulham,10.0,0.0,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
260,261.0,Amadou Onana,9.0,Everton,Defensive Midfield,right,195.0,Fulham,10.0,2.0,True,0.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.4,38.1,17.0,6.7,1.0,0.05,0.38,0.43,1.50
262,263.0,Jordan Pickford,9.0,Everton,Goalkeeper,left,185.0,Fulham,10.0,2.0,True,0.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,10.0,0.0,2.4,1.0,0.00,0.01,0.01,1.50
264,265.0,James Tarkowski,9.0,Everton,Centre-Back,right,185.0,Fulham,10.0,2.0,True,0.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.4,0.3,8.0,1.9,1.0,0.04,0.03,0.07,1.50
255,256.0,Alex Iwobi,10.0,Fulham,Attacking Midfield,right,183.0,Fulham,10.0,2.0,True,0.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.4,40.7,46.0,10.6,1.0,0.32,0.28,0.60,1.50
266,267.0,Andreas Hoelgebaum Pereira,10.0,Fulham,Attacking Midfield,right,178.0,Everton,9.0,4.0,False,0.0,1.0,1.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.6,0.8,2.0,0.3,0.0,0.00,0.00,0.00,0.60
